rowid,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_name,hip_name
1111,b,87.97,0.3870989305,,,1.74E-04,,0.03412969283,,Mercury,HIP 0
1112,c,224.7,0.7232620321,,,2.56E-03,,0.08465282829,,Venus,HIP 0
1113,d,365.26,1,,,3.14E-03,,0.08921277905,,Earth,HIP 0
1114,e,686.98,1.523663102,,,3.38E-04,,0.04751580596,,Mars,HIP 0
1115,f,4332.71,5.202740642,,,1.00E+00,,1,,Jupiter,HIP 0
1116,g,10759.5,9.554812834,,,2.99E-01,,0.843003413,,Saturn,HIP 0
1117,h,30685,19.19110963,,,4.57E-02,,0.3575085324,,Uranus,HIP 0
1118,i,60190,30.10895722,,,5.37E-02,,0.3464163823,,Neptune,HIP 0
1,b,326.03,1.29,0.231,,19.4,Msini,,,11 Com b,HIP 60202
2,b,516.22,1.54,0.08,,10.5,Msini,,,11 UMi b,HIP 74793
3,b,185.84,0.83,0,,4.8,Msini,,,14 And b,HIP 116076
4,b,1773.4,2.77,0.369,,4.64,Msini,,,14 Her b,HIP 79248
5,b,798.5,1.681,0.681,,1.68,Msini,,,16 Cyg B b,HIP 96901
6,b,993.3,2.6,0.08,,10.3,Msini,,,18 Del b,HIP 103527
8,b,452.8,1.333,0.09,,1.99,Msini,,,24 Sex b,HIP 50887
9,c,883,2.08,0.29,,0.86,Msini,,,24 Sex c,HIP 50887
17,b,335.1,0.995,0.289,,9.88,Msini,,,30 Ari B b,HIP 12184
18,b,269.3,0.87,0.432,,7.1,Msini,,,4 UMa b,HIP 42527
19,b,479.1,1.19,0.38,,3.88,Msini,,,42 Dra b,HIP 90344
20,b,1078,2.1,0.032,,2.53,Msini,,,47 UMa b,HIP 53721
21,c,2391,3.6,0.098,,0.54,Msini,,,47 UMa c,HIP 53721
22,d,14002,11.6,0.16,,1.64,Msini,,,47 UMa d,HIP 53721
23,b,,13.2,,,2,Mass,,,51 Eri b,HIP 21547
24,b,4.230785,0.0527,0.013,,0.472,Msini,,,51 Peg b,HIP 113357
25,b,14.65152,0.115227,0.0034,90,0.8306,Mass,,,55 Cnc b,HIP 43587
26,c,44.4175,0.241376,0.02,90,0.1714,Mass,,,55 Cnc c,HIP 43587
27,d,4825,5.503,0.019,90,3.878,Mass,,,55 Cnc d,HIP 43587
28,e,0.736539,0.01544,,83.3,0.02542,Mass,0.17,6.4,55 Cnc e,HIP 43587
29,f,262,0.788,0.305,90,0.141,Mass,,,55 Cnc f,HIP 43587
30,b,874.774,2.18,0.125,,2.21,Msini,,,6 Lyn b,HIP 31039
31,b,4.215,0.050201,0.12,,0.016,Msini,,,61 Vir b,HIP 64924
